==862405== NVPROF is profiling process 862405, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==862405== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==862405== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==862405== Profiling result:
==862405== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"achieved_occupancy","Achieved Occupancy",0.357154,0.357154,0.357154
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"branch_efficiency","Branch Efficiency",85.039988%,85.039988%,85.039988%
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"warp_execution_efficiency","Warp Execution Efficiency",23.039116%,23.039116%,23.039116%
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.088789,1.088789,1.088789
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.406419,4.406419,4.406419
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"shared_load_transactions","Shared Load Transactions",745955941,745955941,745955941
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"gld_transactions","Global Load Transactions",1655232240,1655232240,1655232240
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"dram_read_transactions","Device Memory Read Transactions",340067091,340067091,340067091
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",72.855897%,72.855897%,72.855897%
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"gld_requested_throughput","Requested Global Load Throughput",57.952060GB/s,57.952060GB/s,57.952060GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"gld_throughput","Global Load Throughput",468.955416GB/s,468.955416GB/s,468.955416GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"dram_read_throughput","Device Memory Read Throughput",96.346785GB/s,96.346785GB/s,96.346785GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"shared_load_throughput","Shared Memory Load Throughput",845.367967GB/s,845.367967GB/s,845.367967GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"gld_efficiency","Global Memory Load Efficiency",12.357691%,12.357691%,12.357691%
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"dram_utilization","Device Memory Utilization","Mid (5)","Mid (5)","Mid (5)"
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"shared_efficiency","Shared Memory Efficiency",4.898839%,4.898839%,4.898839%
"Tesla V100-DGXS-32GB (1)","tc::approach::Bisson::triangleCountKernel(unsigned int, unsigned long*, unsigned int*, unsigned int*, long*, int*)",1,"global_load_requests","Total number of global load requests from Multiprocessor",375641153,375641153,375641153
==862405== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
