==865657== NVPROF is profiling process 865657, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==865657== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==865657== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==865657== Profiling result:
==865657== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.999690,0.999690,0.999690
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"branch_efficiency","Branch Efficiency",76.090653%,76.090653%,76.090653%
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",63.957948%,63.957948%,63.957948%
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.426390,1.426390,1.426390
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",1.594617,1.594617,1.594617
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_transactions","Shared Load Transactions",245649994,245649994,245649994
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_transactions","Global Load Transactions",507946282,507946282,507946282
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",882592687,882592687,882592687
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",45.187918%,45.187918%,45.187918%
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",332.903316GB/s,332.903316GB/s,332.903316GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_throughput","Global Load Throughput",803.822866GB/s,803.822866GB/s,803.822866GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",1396.699234GB/s,1396.699234GB/s,1396.699234GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",1554.960351GB/s,1554.960351GB/s,1554.960351GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",41.415009%,41.415009%,41.415009%
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"shared_efficiency","Shared Memory Efficiency",23.701599%,23.701599%,23.701599%
"Tesla V100-DGXS-32GB (1)","tc::approach::TRUST::trust(unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int*, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",318538201,318538201,318538201
==865657== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
