==2033368== NVPROF is profiling process 2033368, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-fox.ini -dataset=Enwiki-2024
==2033368== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2033368== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-fox.ini -dataset=Enwiki-2024
==2033368== Profiling result:
==2033368== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"achieved_occupancy","Achieved Occupancy",0.847969,0.999510,0.951873
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"branch_efficiency","Branch Efficiency",79.198493%,98.697817%,86.941227%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"warp_execution_efficiency","Warp Execution Efficiency",69.146298%,98.443209%,82.635466%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.058609,1.064347,1.061361
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions_per_request","Global Load Transactions Per Request",2.546414,13.622031,6.511835
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions","Shared Load Transactions",338755,346381,340600
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions","Global Load Transactions",37636,5806009655,1343998862
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_transactions","Device Memory Read Transactions",32824,4161842427,1053874954
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_hit_rate","Global Hit Rate in unified l1/tex",25.664179%,71.688265%,53.066735%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_requested_throughput","Requested Global Load Throughput",2.329230GB/s,270.531805GB/s,248.622619GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_throughput","Global Load Throughput",8.176174GB/s,1194.137622GB/s,1142.205740GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_throughput","Device Memory Read Throughput",7.130798GB/s,1052.724140GB/s,895.642143GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_throughput","Shared Memory Load Throughput",291.803594MB/s,295.277267GB/s,1.157846GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_efficiency","Global Memory Load Efficiency",18.595285%,28.488017%,21.327900%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",5,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_efficiency","Shared Memory Efficiency",8.097207%,8.166324%,8.152193%
"Tesla V100-DGXS-32GB (3)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_load_requests","Total number of global load requests from Multiprocessor",14780,1687268716,359542462
==2033368== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
==2033368== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
