==2035325== NVPROF is profiling process 2035325, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash-v2.ini -dataset=Com-Friendster
==2035325== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2035325== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash-v2.ini -dataset=Com-Friendster
==2035325== Profiling result:
==2035325== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.998024,0.998024,0.998024
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",91.172622%,91.172622%,91.172622%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",94.388726%,94.388726%,94.388726%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.911573,1.911573,1.911573
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.991038,2.991038,2.991038
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",62134668230,62134668230,62134668230
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_transactions","Global Load Transactions",39082522469,39082522469,39082522469
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",51621107656,51621107656,51621107656
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",29.294370%,29.294370%,29.294370%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",408.856709GB/s,408.856709GB/s,408.856709GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>(unsigned int*, tc::approach::GroupTC_HASH_V2::grouptc_hash_v2<int=64, int=16, int=1>, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, unsigned long*, int, int, int, int)",1,"gld_throughput","Global Load Throughput",598.339799GB/s,598.339799GB/s,598.339799GB/s
