==2028561== NVPROF is profiling process 2028561, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash.ini -dataset=Imdb-2021
==2028561== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2028561== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-hash.ini -dataset=Imdb-2021
==2028561== Profiling result:
==2028561== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.992005,0.992005,0.992005
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",79.666199%,79.666199%,79.666199%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",76.950389%,76.950389%,76.950389%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.181847,2.181847,2.181847
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.109042,5.109042,5.109042
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",90029386,90029386,90029386
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_transactions","Global Load Transactions",29365711,29365711,29365711
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",19535382,19535382,19535382
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",58.822075%,58.822075%,58.822075%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",279.830128GB/s,279.830128GB/s,279.830128GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_throughput","Global Load Throughput",561.129629GB/s,561.129629GB/s,561.129629GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",373.288481GB/s,373.288481GB/s,373.288481GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",6881.244037GB/s,6881.244037GB/s,6881.244037GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",49.869070%,49.869070%,49.869070%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",8.215946%,8.215946%,8.215946%
"Tesla V100-DGXS-32GB (3)","tc::approach::GroupTC_HASH::grouptc_hash(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, int*, __int64*, int, int*, int, int, int, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",5747792,5747792,5747792
==2028561== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
