==2028679== NVPROF is profiling process 2028679, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-opt.ini -dataset=Imdb-2021
==2028679== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2028679== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-grouptc-opt.ini -dataset=Imdb-2021
==2028679== Profiling result:
==2028679== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.953350,0.953350,0.953350
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"branch_efficiency","Branch Efficiency",76.619849%,76.619849%,76.619849%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",78.943915%,78.943915%,78.943915%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.884602,1.884602,1.884602
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.166520,6.166520,6.166520
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions","Shared Load Transactions",24158926,24158926,24158926
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions","Global Load Transactions",80247205,80247205,80247205
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",21796262,21796262,21796262
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",79.110319%,79.110319%,79.110319%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",699.021968GB/s,699.021968GB/s,699.021968GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_throughput","Global Load Throughput",2476.945780GB/s,2476.945780GB/s,2476.945780GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_throughput","Device Memory Read Throughput",672.773079GB/s,672.773079GB/s,672.773079GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_throughput","Shared Memory Load Throughput",2982.800450GB/s,2982.800450GB/s,2982.800450GB/s
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_efficiency","Global Memory Load Efficiency",28.221125%,28.221125%,28.221125%
"Tesla V100-DGXS-32GB (3)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
