==2028985== NVPROF is profiling process 2028985, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-h-index.ini -dataset=Imdb-2021
==2028985== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2028985== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-h-index.ini -dataset=Imdb-2021
==2028985== Profiling result:
==2028985== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"achieved_occupancy","Achieved Occupancy",0.499972,0.499972,0.499972
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"branch_efficiency","Branch Efficiency",82.889938%,82.889938%,82.889938%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",68.736863%,68.736863%,68.736863%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.628430,2.628430,2.628430
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",1.631315,1.631315,1.631315
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_transactions","Shared Load Transactions",32693327,32693327,32693327
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_transactions","Global Load Transactions",91282696,91282696,91282696
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",18751300,18751300,18751300
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",86.462312%,86.462312%,86.462312%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",254.822843GB/s,254.822843GB/s,254.822843GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_throughput","Global Load Throughput",707.252185GB/s,707.252185GB/s,707.252185GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"dram_read_throughput","Device Memory Read Throughput",145.283810GB/s,145.283810GB/s,145.283810GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",1013.222789GB/s,1013.222789GB/s,1013.222789GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",36.029983%,36.029983%,36.029983%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"shared_efficiency","Shared Memory Efficiency",10.695894%,10.695894%,10.695894%
"Tesla V100-DGXS-32GB (3)","tc::approach::H_INDEX::warp_hash_count(unsigned int*, unsigned long*, unsigned int*, unsigned int, unsigned int, unsigned int, int*, __int64*, __int64, __int64, int, int, int, int)",1,"global_load_requests","Total number of global load requests from Multiprocessor",55956497,55956497,55956497
==2028985== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
