==2029327== NVPROF is profiling process 2029327, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-tricore.ini -dataset=Imdb-2021
==2029327== Some kernel(s) will be replayed on device 3 in order to collect all events/metrics.
==2029327== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -config=./config/config-tricore.ini -dataset=Imdb-2021
==2029327== Profiling result:
==2029327== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.921270,0.921270,0.921270
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"branch_efficiency","Branch Efficiency",79.615307%,79.615307%,79.615307%
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",51.553014%,51.553014%,51.553014%
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.108402,1.108402,1.108402
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",1.627127,1.627127,1.627127
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"shared_load_transactions","Shared Load Transactions",29080686,29080686,29080686
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"gld_transactions","Global Load Transactions",80475651,80475651,80475651
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",9382377,9382377,9382377
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",57.322970%,57.322970%,57.322970%
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",288.944223GB/s,288.944223GB/s,288.944223GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"gld_throughput","Global Load Throughput",822.196826GB/s,822.196826GB/s,822.196826GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"dram_read_throughput","Device Memory Read Throughput",95.857076GB/s,95.857076GB/s,95.857076GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"shared_load_throughput","Shared Memory Load Throughput",1188.436374GB/s,1188.436374GB/s,1188.436374GB/s
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"gld_efficiency","Global Memory Load Efficiency",35.142950%,35.142950%,35.142950%
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"shared_efficiency","Shared Memory Efficiency",21.627166%,21.627166%,21.627166%
"Tesla V100-DGXS-32GB (3)","tc::approach::TriCore::warp_binary_kernel(unsigned int, unsigned int*, unsigned int*, unsigned long*, __int64*)",1,"global_load_requests","Total number of global load requests from Multiprocessor",49458748,49458748,49458748
==2029327== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
