==862890== NVPROF is profiling process 862890, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==862890== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==862890== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==862890== Profiling result:
==862890== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"achieved_occupancy","Achieved Occupancy",0.910853,0.998603,0.963829
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"branch_efficiency","Branch Efficiency",77.356457%,88.953007%,82.529226%
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"warp_execution_efficiency","Warp Execution Efficiency",70.277103%,92.435581%,80.391963%
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.049694,1.054284,1.052045
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions_per_request","Global Load Transactions Per Request",2.761625,16.253783,7.232034
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_transactions","Shared Load Transactions",335902,337371,336654
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_transactions","Global Load Transactions",1911293,797561031,242173850
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_transactions","Device Memory Read Transactions",204278,499739094,197610947
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_hit_rate","Global Hit Rate in unified l1/tex",17.067953%,88.563258%,51.940500%
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_requested_throughput","Requested Global Load Throughput",76.126171GB/s,341.333541GB/s,236.982895GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_throughput","Global Load Throughput",334.881331GB/s,1446.232762GB/s,1068.552704GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"dram_read_throughput","Device Memory Read Throughput",35.791942GB/s,978.340517GB/s,871.926146GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_load_throughput","Shared Memory Load Throughput",2.414042GB/s,235.773580GB/s,5.941730GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"gld_efficiency","Global Memory Load Efficiency",18.171218%,28.915733%,21.671410%
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"shared_efficiency","Shared Memory Efficiency",8.179323%,8.194110%,8.187276%
"Tesla V100-DGXS-32GB (1)","tc::approach::Fox::binSearchKernel(unsigned long*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, int, long*)",6,"global_load_requests","Total number of global load requests from Multiprocessor",692090,230017154,61384048
==862890== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
