==871041== NVPROF is profiling process 871041, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==871041== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==871041== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=Soc-LiveJ
==871041== Profiling result:
==871041== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"achieved_occupancy","Achieved Occupancy",0.499155,0.499155,0.499155
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"branch_efficiency","Branch Efficiency",73.070065%,73.070065%,73.070065%
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"warp_execution_efficiency","Warp Execution Efficiency",72.723944%,72.723944%,72.723944%
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.095270,2.095270,2.095270
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.109671,6.109671,6.109671
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"shared_load_transactions","Shared Load Transactions",492924981,492924981,492924981
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"gld_transactions","Global Load Transactions",8572312260,8572312260,8572312260
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"dram_read_transactions","Device Memory Read Transactions",290773064,290773064,290773064
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",95.515559%,95.515559%,95.515559%
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"gld_requested_throughput","Requested Global Load Throughput",890.088194GB/s,890.088194GB/s,890.088194GB/s
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"gld_throughput","Global Load Throughput",1990.425271GB/s,1990.425271GB/s,1990.425271GB/s
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"dram_read_throughput","Device Memory Read Throughput",67.515279GB/s,67.515279GB/s,67.515279GB/s
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"shared_load_throughput","Shared Memory Load Throughput",457.813626GB/s,457.813626GB/s,457.813626GB/s
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"gld_efficiency","Global Memory Load Efficiency",44.718493%,44.718493%,44.718493%
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"dram_utilization","Device Memory Utilization","High (9)","High (9)","High (9)"
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"shared_efficiency","Shared Memory Efficiency",85.922990%,85.922990%,85.922990%
"Tesla V100-DGXS-32GB (1)","void count_all_trianglesGPU<long, unsigned int=512>(long, long const *, long const *, long*, long, long, long)",1,"global_load_requests","Total number of global load requests from Multiprocessor",1403072698,1403072698,1403072698
