==2309710== NVPROF is profiling process 2309710, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=MAWI-graph5
==2309710== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==2309710== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=MAWI-graph5
==2309710== Profiling result:
==2309710== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.997628,0.997628,0.997628
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"branch_efficiency","Branch Efficiency",92.732477%,92.732477%,92.732477%
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",83.147054%,83.147054%,83.147054%
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.275109,1.275109,1.275109
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.527503,4.527503,4.527503
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions","Shared Load Transactions",379381291,379381291,379381291
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions","Global Load Transactions",354635396,354635396,354635396
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",150675893,150675893,150675893
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",59.707897%,59.707897%,59.707897%
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",405.425477GB/s,405.425477GB/s,405.425477GB/s
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_throughput","Global Load Throughput",989.914002GB/s,989.914002GB/s,989.914002GB/s
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_throughput","Device Memory Read Throughput",420.590212GB/s,420.590212GB/s,420.590212GB/s
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_throughput","Shared Memory Load Throughput",4235.954520GB/s,4235.954520GB/s,4235.954520GB/s
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_efficiency","Global Memory Load Efficiency",40.955626%,40.955626%,40.955626%
"Tesla V100-DGXS-32GB (1)","void tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>(unsigned int*, tc::approach::GroupTC_OPT::grouptc_with_reduce<int=32, int=8>, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
