==784010== NVPROF is profiling process 784010, command: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=MAWI-graph5
==784010== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==784010== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/build/main -dataset=MAWI-graph5
==784010== Profiling result:
==784010== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.993348,0.993348,0.993348
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"branch_efficiency","Branch Efficiency",93.368562%,93.368562%,93.368562%
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",94.449461%,94.449461%,94.449461%
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.279802,1.279802,1.279802
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.898101,4.898101,4.898101
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_transactions","Shared Load Transactions",330476301,330476301,330476301
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_transactions","Global Load Transactions",271500016,271500016,271500016
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",142759880,142759880,142759880
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",51.950535%,51.950535%,51.950535%
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",410.370408GB/s,410.370408GB/s,410.370408GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_throughput","Global Load Throughput",951.586224GB/s,951.586224GB/s,951.586224GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"dram_read_throughput","Device Memory Read Throughput",500.362163GB/s,500.362163GB/s,500.362163GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_load_throughput","Shared Memory Load Throughput",4633.173878GB/s,4633.173878GB/s,4633.173878GB/s
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"gld_efficiency","Global Memory Load Efficiency",43.124879%,43.124879%,43.124879%
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_utilization","Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"shared_efficiency","Shared Memory Efficiency",11.994613%,11.994613%,11.994613%
"Tesla V100-DGXS-32GB (1)","tc::approach::GroupTC::grouptc(unsigned int*, unsigned int*, unsigned long*, unsigned int, unsigned int, __int64*)",1,"global_load_requests","Total number of global load requests from Multiprocessor",55429644,55429644,55429644
==784010== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
