==3577547== NVPROF is profiling process 3577547, command: /home/LiJB/cuda_project/TC-compare-V100/approach/GroupTC/grouptc /home/LiJB/cuda_project/TC-compare-V100/data/rid_dcsr_dataset/Com-Friendster/ 0 1
==3577547== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3577547== Profiling application: /home/LiJB/cuda_project/TC-compare-V100/approach/GroupTC/grouptc /home/LiJB/cuda_project/TC-compare-V100/data/rid_dcsr_dataset/Com-Friendster/ 0 1
==3577547== Profiling result:
==3577547== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"achieved_occupancy","Achieved Occupancy",0.995456,0.995456,0.995456
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"branch_efficiency","Branch Efficiency",89.668906%,89.668906%,89.668906%
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"warp_execution_efficiency","Warp Execution Efficiency",93.179836%,93.179836%,93.179836%
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.136271,1.136271,1.136271
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.446368,5.446368,5.446368
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"shared_load_transactions","Shared Load Transactions",13468855706,13468855706,13468855706
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"gld_transactions","Global Load Transactions",166440781355,166440781355,166440781355
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"dram_read_transactions","Device Memory Read Transactions",42159952501,42159952501,42159952501
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",83.622918%,83.622918%,83.622918%
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"gld_requested_throughput","Requested Global Load Throughput",724.954163GB/s,724.954163GB/s,724.954163GB/s
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"gld_throughput","Global Load Throughput",2230.425078GB/s,2230.425078GB/s,2230.425078GB/s
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"dram_read_throughput","Device Memory Read Throughput",564.973407GB/s,564.973407GB/s,564.973407GB/s
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"shared_load_throughput","Shared Memory Load Throughput",721.969058GB/s,721.969058GB/s,721.969058GB/s
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"gld_efficiency","Global Memory Load Efficiency",32.502960%,32.502960%,32.502960%
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"shared_efficiency","Shared Memory Efficiency",6.004736%,6.004736%,6.004736%
"Tesla V100-DGXS-32GB (0)","grouptc(int*, int*, long*, int, int, __int64*)",1,"global_load_requests","Total number of global load requests from Multiprocessor",30559958309,30559958309,30559958309
==3577547== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
